Reviews,Recommendation
i bought the smaller pack last time and didn't realize how quickly it runs out. very happy with this amount of batteries.,Medium
"you know those crazy cheap batteries that are so light you practically hit yourself in the face when you pick one up these aren't those.i've already purchased a couple sets of these and have been really happy with the quality/lifespan. i'd say they're defintely comparable to the more expensive name brands. i've happily recommended them to friends and family, and it's so handy always having plenty of aa batteries, especially around birthdays and holidays!",Medium
"ive been buying these since they started selling them. the last batch, i had one that leaked. it was in a rather expensive candle, so a heads up for those using this battery to check once in a while. ive never had this happen before. it turned all brown on one side and could have ruined my candle if i didnt clean it out real good. the battery was only week old, used infrequently in an air conditioned home. i will still continue to buy these.",Medium
"i've been buying aaa alkaline batteries in packages of four at the dollar store and thought i was getting a pretty good deal on the price, but it bothered me to have to throw away so much packaging every time i needed four batteries. then i was checking out a fellow reviewer's profile and found a review of the amazonbasics aaa batteries. he (or she, i can't remember) claimed these work as well or better than name brands and are even less expensive than the dollar store deals and with much less waste in the packaging.so i ordered some and his advice was right on the money. i've used them (so far) in small flashlights and in one of my tens machines. great performance. the price (which seems to fluctuate) is less than i was paying locally. best of all, you get 36 batteries in a tiny cardboard box that measures 4 1/4 x 2 1/4 x 2 1/4. there are 9 sealed packages of 4 batteries each, but there's much less waste in the packaging. amazon claims 10-year, no-leak shelf life for them, but even i use batteries faster than that.i think this is a great product at a great price and i love the packaging. glad i stumbled onto them.",No
love these batteries. they last just as long as the top name brand battery for a fraction of the price. look no further. check out the discharge and compare. they are solid!,Medium
"i have been using these batteries for some time now and they seem to be holding up as well or better than any name brand i have used in the past. the price, packaging and shelf life make amazon batteries a winner.",Medium
you get what you pay for in life bht for the lrice and amount these are actually great one say or two days of strong power for flashlights or wireless headphones etc. for remotes theyblast for quite a while. package was nice fast delivery thunking of actually buying different sizes for other electronics ...would definitly order again ...kinda like gas not premium or regular something like a plus ....lol i have tried all those other expensive brands thats supposed to last 10x more longer well by the time you pay for one pack and get maybe a months wirth depending on usage you could have a 100 of these and still have left over......just saying your not buying tires or brakes for your car so test them out they sell it in smaller amounts and subscdiption amount etc....,No
"they didn't last very long in my cheap camera. with them not being lithium i didn't expect them to last forever, but i should of gotten more then a days use out of them. in my xbox controller they lasted an adequate amount of time. so all in all these definitely aren't for heavy use and the price point reflects that.",No
"iv'e got these batts in a bunch of holiday candles. going strong. great price. if they poop out early, i'll update this post.",Medium
"amazon basic batteries are the best, i buy them in all varieties.",Medium
not the first time i have bought amazon basic products and won't be the last. from my experience these products do just as well as any name brand product but with less experience. love the packaging these batteries came in and so far from what i can tell work like a charm. put them in a couple of my gadgets and worked perfectly. the way we go through batteries the cost savings is well worth it.,Medium
"amazon basics batteries are just as good as the name brands from my experience. well packaged in easy open box, whivh i appreciate since i have arthritis. box is small enough to keep the rest of the batteries from getting all over and easy to find when replacement is needed. a",Yes
i started buying these large packs of amazon batteries because of the great value and previous experience with amazon basic products. these batteries seem to work as well as my energizers and duracells at a fraction of the cost. i will be buying more aa and aaa when i run low. that should take a while with this large pack.,Medium
"so far, these hold up really well. for the price, they are simply unbeatable. they come packaged in a small, generic box. i've now tried 4 amazonbasics products, and i haven't got a complaint about any so far. amazon seems to not only want to make cheap products, but they also don't seem to want to get complaints and returns as well. who has time for all of the mess so, do it right the first time, and see what happens.thanks for another great product!*if my review was helpful in any way, please click the little yes button. if not, just laugh and move on.",Medium
"i don't know what you expect to read here. some elaborate review about how these batteries are amazing from the packaging to the ease of installation etc no, they are as a batteries that are cost effective and do their job properly. no.magic smoke yet so can't complain. 10/10",No
"my 37 days old amazon fire stick quit working, the system was fine it just seemed like the remote wasn't getting any juice. tried 3 different sets of these batteries in it and it still wouldn't work-and yes, i put them in the right way. contacted amazon about the limited warranty on remote as it was just past 30 days purchased and couldn't return, but before sending back for warranty service and being without tv for who knows how long and just to make sure, i bought some energizer batteries. wouldn't you know it, the remote fired right back up. can't trust these batteries.",Medium
"everything we have around the house uses batteries, so we go through them fast. i like purchasing in bulk because i don't have to purchase them as often and they are a little cheaper that way. i was a little nervous to purchase the amazonbasics brand, because i wanted to make sure that i purchased a quality battery. we normally purchase duracell.i am happy to see that the quality is just as good as the other brands we've purchase and at a fraction of the cost.we will be purchasing these again in the future.",Medium
i work in an electronics lab and did a test against the big name batteries and the discharge curve and performance was exactly the same as the brand that stars with e !!! very good value,Medium
"i bought these batteries being skeptical about their price and quality - since when were store brand batteries ever really good and worth the cost well amazon will surprise you again with another great addition to amazonbasics. these batteries are as good as if not better than major name brands. i have been using these batteries in devices that typical run down alkaline batteries in a couple of weeks, and so far these batteries have lasted twice as long. i have not noticed any problems or differences with these batteries, and i have yet to test them with my voltmeter for consistency however, i have noticed no issues or problems. i usually prefer to use rechargeable batteries, but these make using alkaline batteries worth it again.",Medium
"i love these batteries from amazon and will continue to buy them for my controllers for gaming as they are strong enough to deal with them. i get a long life from these. as long as i do from my duracells! i complete this review after either i or an immediate family member has tested the product thoroughly. sometimes i have very little to say about a product if it works and it does what it is advertised. sometimes i wax effusive, or rather poetic. either way please be assured that we have tested the product and have been honest with you. if my review is helpful for you or makes sense, please indicate yes below. thank you for reading my review.",No
"these work as well as any standard-type batteries on the market. they last just as long as the name brand batteries. i don't know how well they store because i have been giving a lot to kids who had inferior batteries in their handhelds. i ran out that way. they use those handhelds constantly, but they haven't had to replace any of the batteries i gave them (it's been a couple of months). other devices have had these batteries for six months, now, and are going strong.",Medium
"awesome price, awesome batteries. i will never buy batteries anywhere else again, this deal is hard to beat.",No
still running strong after i had a string of battery-operated lights on for a whole week (in 8-hour shifts of darkness).,No
"well, these are basic, average, ordinary non-rechargeable aa batteries. you get 100 in bundles of 4 tightly wrapped in plastic, all packaged in a plain corrugated cardboard box. the price is good. the batteries are plentiful. i've read reviewer complaints here that the battery quality is inferior, that they don't work, or explode, or ooze, or don't last very long. i can't tell you about this. i don't have a battery tester and nor do i have the ambition to set up a test involving these vs. some top brands to see which work better and last longer.don't try to charge them (duh!) and just use them. i'm not a big user of aa batteries and now that the world as i knew it is coming to an end, there will probably be plenty of these still in my house when that end arrives.",Medium
theses did not work. wanted to make sure i had batteries for the item i was purchasing but they did not work. i had to dig some out of my junk drawer.,Medium
"terrible. just changed the batteries on my wireless keyboard... yesterday. already dead. put another set in low powered christmas lights. dead in about an hour. (i have another identical christmas light set, powered by energizer batteries. still going after many many days of running).unfortunately bought the 48 pack. won't make this mistake again.",Medium
basic aa batteries for a good price.,Medium
"easy decision, the amazon basics line of products has always worked well for me, and amazon customer service on their stuff is amazing if you need it.there is little difference in alkaline batteries. (costco hits top rank in consumer reports, but i have not seen their amazon battery rating.)but ordering from amazon is so easy, and the quality is good",Medium
"the box is actually quite nice for storage. it is flat, and easy to open.",Medium
"basic, alkaline battery, highly rate by cu",Medium
they make things work!,Medium
they're batteries. they work. simple as that.,Medium
pros: good batteries. i like the easy subscription option which helps make them even cheaper. packaging is nicely done.con: found them cheaper.,Medium
they're batteries. they make small devices work. what more is there to say,Medium
"i used these batteries in a canon 420 speedflash. normally, under multiple exposure (around 3 shots per second), using standard alkaline i'd get 3 continuous flashes before a miss, or with fancy high discharge rate flash batteries (translate - expensive!), i'd get 5-6 continuous flashes. the last photography shoot, i was asked to get back-to-back images of a person at a surprise birthday party. imagine my surprise when, upon entry of the victim, i captured 9 continuous exposures with perfect flash! i am very impressed!these batteries are high quality and surprisingly powerful!",Medium
are you like me! do you have 46 devices in your home and they all seem to use aa! amazon batteries are great quality super inexpensive and easy to get! it never fails that you need one or two batteries at 9 am or 9 pm and don't want the hassle of getting in the car for that 20 minute (or more) round trip to the drug store. a must have on the list of things worth having delivered to the house!,Medium
what's to say they're batteries and they're from amazon. just another staple item you'll need at a great price. why shop anywhere else,Medium
i love that it comes in a box. so smart for batteries. you don't have a lot of loose batteries like you do once you open a blister pack.,Medium
"just purchased in october and replaced the batteries in my camping lantern this past week using these. the batteries leaked inside the lantern so badly that it wrecked the device altogether. i attempted to clean the contacts and use a different brand batteries, but enough battery acid leaked that the plastic and internals have a permanent coat of oxidation on it. had to buy a new lantern. do not plan on purchasing again in future as the batteries are ineligible for a return at this point.",Yes
batteries seem fine. hard to tell if they are as good as name brand until i use them for a while.,No
i haven't had these batteries long enough to tell you if they last a long time or not but for the price you can't go wrong and i trust the amazon basic batteries to be a better value than buying energizer or duracell batteries online that might come from a seller who is knocking them off from china,Medium
batteries seem to work fine but they are packaged in multiples of 4 and it's an annoyance to break open a new pack each time. what's the point in buying in bulk with so much packaging,Yes
difficult to be excited about aa batteries but everything about the purchase was as advertised. they were well packaged and even arrived several days early. they are working well. my regret is that i did not order aaa batteries at the same time.,No
batteries where used in mt solar light actually work well! amazon could sell rechargeable that is some thing i'm very interested! i use a lot during summer and winter!,Medium
easy to order easy to keep a reoccurring order if you tend use batteries often. i don't notice a difference between this brand or a more popular branch in terms of durability. we keep them on hand at our house because you never know when you'll need one or four of them. i'll be ordering them again soon.,Medium
i installed three of these beautiful aaa cells into my bike light. now i believe that i am less likely to die in a violent crash with a car.,Medium
"best product from amazon basics,packaging is super good and easy to use",Medium
"wow!!!! i bought this sick to the wall light for a closet and it was dim really dim, even with rayovac brand new it was brighter but not impressive. upon trying these out i was blinded by how bright it was. box also works nicely to keep batteries in one place.",Yes
i got these for my grandkids toys and just got them cause they were cheap and would deliver. well i was wrong! they been playing with their toys since christmas and the batteries are still going strong. so my recommendation these are the ones to buy.,Medium
best price and easy to order. i only buy amazon basics batteries now.,Medium
"i like that these were wrapped in plastic in sets of 4 to help keep them organized. these worked well and restocked my battery storage area. the box was simple and compact, no larger than it had to be - this is never the case at big box stores. thanks, amazon!",Medium
"everyone needs extra batteries around the house. these amazon basics aa are in every control that i have in my home. as far as i can tell they last as long as the expensive main brands. get a box of batteries, throw them in 'that' drawer, and never run out of batteries again.",No
"these batteries are great, and a real value when you buy in bulk. i would highly advise you to buy more then you need because the higher you go the bigger discount you get. they come shipped in very good packaging, and packed tight to keep them safe. if you buy many the packaging can be used for safe storage.the performance of these batteries is about what you would come to expect from amazon. they on on par with more expensive energizer brand batteries. the shelf life on these is also around 10 years. while i'm a big advocate for lithium batteries, sometimes you just need a less expensive option and these are always my goto brand. you will be hard pressed to find a better value for your money in terms of batteries.",No
"i looked at the math about the capacity and strength and longevity of different batteries and a lot of them are similar, including these, and these make the most sense price wise.i have tried hundreds of rechargeable batteries and they get recharged a couple of times and then disappear. at a certain point they are just a waste of money.",Medium
this is the best deal i've found for batteries. now i can always have plenty on hand. the simple packaging is a plus over store bought blister packed batteries too.,Medium
"these are awesome. they're an amazing value - buying amazon batteries in bulk is the best deal i've found anywhere. and the subscribe and save option is awesome when you have kids in the house - gadgets and remotes and games and controllers and toys, oh my! this keeps you ready and stocked.i also like the way they're packaged - plastic wrap is easy to tear off, but holds together sets of 4, all boxed together. very handy.these are a must for any busy, budget-conscious parent!",Medium
i personally think that these batteries are as good as name brand ones for half the price! i primarily use these in my xbox one controllers and change batteries maybe twice a month of heavy play. definitely worth the purchase!,No
"long lasting and a great value! come in very basic packaging, most likely to cut cost. will buy again!",Medium
"i have encountered several amazonbasics batteries lately which were dead on arrival. since they are cheap, i just throw them in the trash and try some more. however this is concerning. if this occurs much more i will stop using them and purchase more traditional, reliable brands. simply beware when you purchase these, some bad ones may be mixed in the batch.",No
"i have quickly become a fan of amazon basics products. you just can't beat the price and quality. these batteries run just as long as the duracell's i had before this purchase. i bought these based on the reviews and because the price was so good. i bought both double and triple a batteries and use them is wireless mouse ( i have 3 amazon basic wireless mice), tv remotes and clocks. so far, i have noticed no poor performance and the run time is as good as anything else i have tried. i keep them on a shelf in a rough room in my basement to keep them cool and dry. the do come wrapped in 4's in the box. that keeps them organized nicely in the box, but the wrapper can be a frustration so i keep a razor knife on the same shelf which make very quick work of that. problem solved. overall, i am totally satisfied and as i said, i will buying more of the amazon basics as they become available.",Medium
"these perform and last just as well as energizer or duracell. we burn through these at my office for wireless keyboards and mice, so i needed to restock at a good price. i've never had any complaints by anything made by amazonbasics at all. these come in a simple cardboard box that's sealed. inside that box, you have two rows of sealed/wrapped batteries. they worked great for my needs, and will return based on the price.",Medium
"bought these batteries because the duracell batteries tend to leak, but these batteries i had to replace in five light sets that the duracellslast months these lasted a week. the duracells leak but only if you leave them dormant in the fixture.",Medium
i purchased these a little more than skeptical about how long these would actually last. but 100 battery pack at about 20 that's a pretty great steal and i figured if they run out fast well i have a 100 to go through. so i said why not and bought them. they arrived and i put them to the test since apparently all gizmos and gadgets require like 4 of these bad boys.i can not even describe how pleasantly surpised i was with these. they come in a card board box which is was nice and easy to store. the batteries are wrapped up into groups of 4's. they hold a fairly long charge so you don't have to change them out too often.,Medium
"simple packaging. no frills. it just works. these are standard batteries and will last as long as any others you'll find, but at a much better price than any store will have.",Medium
"for some reason, they are not working very well with my wireless mouse. mouse pointer mover very slowly when i use these batteries, but it works fine when i use different batteries",No
"not sure how long these last yet, but seem fine so far. i like the box they come in that is strong, but then they put hard plastic wrap on 4 packs of the battery that are a pain to remove. get out your knife, don't cut yourself.",No
"i was sick and tired of my duracells leaking so i bought these. only one month in, so it's hard to know if they leak, but so far so good. no complaints.",No
your basic batteries but cheaper. did not notice shorter life span. great for college,Medium
"great value for the money. while i cannot compare this to any other batteries lifespan, they have been going for about a month strong now in frequently used devices.",No
love the little box it comes in and easy to open. works just like other batteries.,Medium
"when i think of all of the money that i've spent so far on batteries, i am actually a bit furious! i buy batteries for all sorts of things for my family. and to think, these batteries were here all along, and i should've bought them along time ago! amazon basics batteries are definitely worth the buy! not only do you get the size that you need when you need it, you get enough in a simple package that meets the demands that you need, easier open, and, worth the price! for the same amount of batteries that you get even in the smaller package, you would pay quite a bit more for the larger more popular brands that are out there. these batteries perform just like the others!these of been tested in everything from small toys, two xbox controllers. please do not die unexplainably or unexpectedly and they just plain work!i'm ordering a larger package i think but the subscribe and save option is great for monthly restocking or a staple item used all the time!",Medium
i've had these aa amazon batteries for a month now and i've had no issues. i replaced the batteries in many of my sons toys when i first got them and all of the toys are still going strong.this pack of batteries comes with 48 aa batteries. it comes in a nice box which i'm still using to keep the unused ones in for storage. i think that the value of these are much better than any other brand. at walmart for a 24 pack of energizer you will pay 9.94 and for a 24 pack of duracell you will pay 13.97. this comes with double the amount! with a kid i've learned i can spend a fortune on batteries with all the toys that do not include batteries so i will continue to use these. very happy with them so far!,Medium
"price per battery this is tough to beat. performance/longevity wise, these beat out most every generic battery i've used and keeps up with the big brands too. you can't go wrong with these - especially if you have a household with kids ... kids have this magic that makes batteries deplete just by being around them .... lol",No
great basic alkaline batteries at a terrific price.,Medium
"really excellent value here. they ship in a nice little box that's easy to store, within the box, the batteries are separated into plastic-wrapped packs of 4.",Medium
"cant beat the price, and these batteries seem to last forever even with heavy use. i grabbed this multi pack because you never know when you'll need aaa's and they've come in handy.",No
great value on amazon basic batteries.,Medium
"they're batteries. they're cheaper than wal-mart. what more could you want i don't have stats on whether they last longer than duracell or energizer, but at this price i don't think it really matters. the brand amazon basics has tons of useful stuff all the way from batteries to laptop bags and more. it seems like amazon wasn't enough of a household name so they're trying to make it so everything in your house has the amazon name on it, but i ain't mad let them take over. i just wish they had an amazon basics brand for disposable diapers.",Medium
"these work just as well as the name-brands, come in easy to access packaging, and are a great value! will never buy batteries from a big box store again!",Medium
does the job. seems to have good life. one complaint is that the batteries are in sealed groups of 4 which complicates opening them. a simple box of 48 loose would be much easier to deal with.,Medium
something as simple as a pack of batteries brought to you by amazon at a more than competitive price delivered to your door. how could you go wrong,Medium
i like how easy and fast it is to order these batteries. this is a really good price for the convenience aspect.,Medium
cheap and easy batteries in an easy open package that is also recyclable and good for storage. perfect for those toys (child and adult toys) that are constantly using batteries. i wish amazon offered a package with prepaid return postage for recycling. i would pay an extra dollar or something if i could pack them back in the box and ship them back to amazon for recycling. you hear that amazon,Medium
"if you, like me, dont care what batteries you use in your tv remote these are fine for youpros-um 100 batteriesthey come in packs of 4, so not loose batteries rolling aroundcons-i hear they may drain quicker than more expensive batteries. to that i say: i have 99 more where that came from.",No
"with four kids under the roof, their toys are always in need of aa batteries. i had purchased this amazonbasics pack of aa batteries for exactly that purpose. the expiration year reads 2024, but after just two years of sitting on the shelf, the batteries that are left are all but dead. they weren't left in cold storage to freeze, they were right on the shelf in our living room. i ended-up going to radio shack and purchasing one of their batteries instead.i can only imagine that most of the 5-star reviews for this product are based off initial impressions and short-term use. it's really sad that they just can't hold their own after only two years. will stick with known brands from now on.",Medium
"i got two of these batteries with my fire tv stick. loaded them in and everything was good for 1.5 days. then the fire tv stick stopped responding. i trouble shooted with no fix. called customer service and they had me trouble shoot too, started by saying can you change the batteries.... my response ... seriously, you want me to change the batteries, it's a freaking tv stick what could possibly be wrong, the batteries are brand new and came with the device. so i was changing the batteries as i was saying all that only for the new batteries to fix the problem. so.... these amazon batteries died in 1.5 days. how does that happen",Yes
"amazon batteries! they got me on the price, but how's the performance! honestly i can't tell cause who's counting i usually by pro cells because sometimes i'm a pro. just kidding but really i work in entertainment so we use pro cells but i bought a box of these just to keep handy and save the day when pro cells are not available. these really aren't that bad. pro tip: make sure you dispose them properly so you don't kill the earth. i'd definitely buy these again. now that i am a father, there's all kinda of other things to put batteries in. also do not skimp out on your earthquake kit. it sounds like whatever but honestly you need to prepare folks!",Medium
"aaa batteries. they make things go. i, uh...i have nothing else. i mean, batteries are pretty much--oh, wait! they're quite shiny also.",Medium
"i have no idea why these batteries are reviewed so well. i used them in a small led keyboard light for my computer, and i had to change them weekly. sure you get more batteries for less money, but in total i think you'd be better off buying a quality brand.",Medium
batteries don't last that long i bought these for some of the little round lights that go in your closets or under your cabinets they didn't make it a week which was sad.,Medium
spend a few more dollars and get a branded one. these discharge very fast. had to keep changing my wall clock battery every 2 months when i had these. got an energizer battery and that stayed for more than a year. didn't expect amazon product to be of such poor quality.,Medium
"purchased these 3 months ago in addition to a higher end () brand that came with a 9 docket charger. the higher end rechargeables are still going strong. these leaked battery acid all over my charger and ruined one docket, and ruined an under cabinet puck light. save your money! they won't last!",Medium
"because paying 20-40 dollars at walmart (depending on type) for the same thing makes sense right if you are like me and have 3 kids that all have annoying gizmos and electronic crap that takes batteries it is hard to beat amazon's bulk batteries.these seem to have the same general capacity of a standard energizer. i have not tested these with my joule thief to see how long they can last. but i'd say on par with the others.this may sound dorky-- when batteries are this cheap, you will find yourself putting them back into toys, remotes, electronics that you had previously marked as not necessary to be powered.",No
batteries last a decent amount for things like toys and remotes. the packages come 4 each in a plastic wrap so you don't have to worry about loose batteries floating around after you open the box.,No
these are batteries so what can one say. ...they are economical and function. i bought light motion that require 3 aaa batteries. i needed 9 and they all work flawlessly. plus now my remote control also works too.,Medium
i was really excited to find a great deal on batteries. i would have to say if you just used these batteries for remote controls. and basic stuff then this would be the battery pick hands down. i could not believe how many batteries i went through for a child's toy. these batteries don't hold there ground against brand name. i burnt through 24 amazon batteries in one month on my son's hot wheel course. just basic use maybe an hour a day at most. brand name has lasted 2 months.,Yes
"put these batteries in led string lights on two wreaths, place kirkland batteries in another set of the same lights....guess what amazon batteries loose their power quickly. kirkland batteries are still flashing strong,,,,,,amazon batteries barely blink. sorry amazon, love you but not these for me.",Medium
good price but batteries just don't last as long as name brands. my hope was to power christmas decorations through the holidays and save a few bucks. many of these batteries did not make it. in the future i will stick with proven brands.,Medium
i'm never going to buy a brand-name battery again . amazon basic batteries are just as good as the big boys . amazon basic batteries are my battery of choice from now on .,Medium
dont last as long as i expected them to. they are in our fire stick remotes and i have to change them about every 2 or 3 months,Medium
"these batteries are hyped! duracell always wins. i bought them for electronic circuit for my experiments and i can clearly see how they fail against duracell aaa batteries. i also wonder about the review someone has put that shows the performance plots. under standard conditions doesn't matter, batteries need to perform the way consumers use them. to be fair, these batteries are better but don't show them as the best in the world, no way!",Medium
"works well, easy packaging",Medium
"batteries for days, easy and cheap. if they simply work, i'll be all good. the packaging is shiny, so they will, right :)",Medium
"the internet of things... more like, internet of batteries! the more smart gear we get, the more batteries we blow through. when my wifi-enabled scale (!) pooped out after about 9 months on the factory batteries, i restocked it with the amazon basics. they ship in a compact, no-frills cardboard box... inside a larger amazon shipping box. the cardboard box is easy to open... no screwing around with scissors and sharp plastic packaging. then you can close the lid on them when done and not worry about them rolling everywhere. if you have shaky hands or poor eyesight, these are the ones to get.",Medium
"arrived quickly. easy to install with clear, simple instructions. touch screen input seems to be the same as it was prior to installation.",Medium
works as well as the name brand batteries but so much cheaper! easy to unpack also.,Medium
plug and play! easy to use.,Medium
we are pleased with these aaa batteries. they are economical and have worked well for us in the items we tried them with. easy to store in the cardboard box they arrived in.,Medium
dynamic strong battery.,No
it's a whole crap load of aa batteries. they make electricity happen. it's magic,Medium
"these work as well as any big name brand batteries. i'm a heavy pc user since i work from home and i use a wireless mouse with my laptop. i can get weeks of use out of these without an issue. and even when the low battery light starts flashing on the mouse, i still get 2-3 days use out of them. save your money, and buy these instead.",No
ok people. everyone knows how it is when you've run out of double a's. i added these to my subscribesave. they seem to last a fair amount of time (even in the game boy!). every household needs a good stache of double a's hidden somewhere. the price is vey affordable too. great buy.,Medium
"great batteries and great price. thanks amazon (and by the way, if you're listening, please make an entire amazon basics store so prime members can shop in there exclusively).",Medium
these amazon basic batteries are just as good as the expensive name brand. i'll be buying these from now on.,Medium
"put 4 of these in my handheld scanner 2 weeks ago, still going strong. i normally leave it on between 1 to 3 hours at a time. to say i'm beyond impressed is an understatement. out of normal alkaline batteries, i was getting at best 2 or 3 days.",No
"throw away all my generic batteries and replaced with these. 48-pack came in a nice carton box with 4-pcs. battery in each plastic wrap. used in remote controllers, game controllers, mouse, automatic spray air fresheners, led flashlights and camping lanterns, clocks, wall lamps, and other devices. excellent batteries for the price.",No
"as good as any of the big name brands. only complaint is the very difficult to remove plastic from each group of four batteries. i appreciate that amazon is concerned with reducing package size, but wrapping them in plastic isn't working for me. would have been much better to use a small band to keep them together since they are in a tight cardboard box, it is unlikely they will short each other out, the band probably isn't even needed.",No
"i've used these as a replacement for the nearly double in price of duracell batteries. these last just as long as the duracell batteries - a minute or two does not make a difference as my devices are on 24/7 - especially when these batteries are half the price! i have not had any leak, whether they were in their package or in any devices. the expiration dates on every shipment i've had so far have averaged 9 years with some 10 years from when i received them. this means they are fresh (recently made) and haven't been sitting around on a warehouse shelf for long. i like the green circular negative (-) indicator with the check mark (tick) on the side. makes for quick installation in poor light. excellent value and excellent performance!",Yes
"excellent purchase, especially for the price. 2 toddlers in the house make batteries a commodity item. there are excellent reviews that compare amazonbasics to the usual battery brands. i highly suggest you read them to see that there really isn't a difference and since the price is so much lower these are a no brainer.",Medium
tested and performed as good or better than the leading brands. i have many amazon basic products from micro usb chargers to hdmi cables and all are excellent quality. you would be crazy not to buy these. amazon for president,Medium
"these amazonbasics aa batteries are a phenomenal value for the quality you get! the batteries last quite a long time and they're well worth the price you pay.we go through batteries at my house like they're going out of style, so finding a bulk amount for a reasonable price was a bit difficult. these batteries solved my problem with that. it was a great purchase, and i recommend them for you folks out there that go through batteries quickly. you'll find that to not be the case with these.",Yes
